dataset,split,round_index,sample,model,box_count,confidence,box_mask_iou,box_mask_f1,box_mask_accuracy
loveda,default,92,loveda_0280,nvidia/LocateAnything-3B,4,,0.0,0.0,0.918543815612793
loveda,default,93,loveda_0162,nvidia/LocateAnything-3B,14,,0.0,0.0,0.9910678863525391
loveda,default,94,loveda_0017,nvidia/LocateAnything-3B,22,,0.04123892919689767,0.07921127042129524,0.5431699752807617
loveda,default,95,loveda_0046,nvidia/LocateAnything-3B,38,,0.0962471747685318,0.17559392987964417,0.0985260009765625
loveda,default,96,loveda_0252,nvidia/LocateAnything-3B,18,,0.00883195110825323,0.01750926127696666,0.8280086517333984
loveda,default,97,loveda_0221,nvidia/LocateAnything-3B,41,,0.0,0.0,0.7537450790405273
loveda,default,98,loveda_0218,nvidia/LocateAnything-3B,13,,0.02086326951927209,0.04087377838385091,0.6458377838134766
loveda,default,99,loveda_0364,nvidia/LocateAnything-3B,14,,0.6356234397817145,0.7772246647022165,0.6887445449829102
loveda,default,100,loveda_0300,nvidia/LocateAnything-3B,11,,0.08800897723629368,0.16177987328716664,0.7450037002563477
potsdam,default,1,potsdam_0278,nvidia/LocateAnything-3B,2,,0.6211485681735798,0.76630677825337,0.720916748046875
potsdam,default,2,potsdam_0192,nvidia/LocateAnything-3B,12,,0.5461871740456902,0.7064955436366208,0.5488929748535156
potsdam,default,3,potsdam_0047,nvidia/LocateAnything-3B,1,,0.4748346979437151,0.6439158213537453,0.47614288330078125
potsdam,default,4,potsdam_0334,nvidia/LocateAnything-3B,2,,0.9719721361756672,0.9857868864827429,0.9719734191894531
potsdam,default,5,potsdam_0231,nvidia/LocateAnything-3B,10,,0.39095893046070984,0.5621430250729508,0.5168914794921875
potsdam,default,6,potsdam_0315,nvidia/LocateAnything-3B,1,,0.008702759506480364,0.017255349852989977,0.02841949462890625
potsdam,default,7,potsdam_0243,nvidia/LocateAnything-3B,2,,0.9262894387373498,0.9617344310879022,0.9263153076171875
potsdam,default,8,potsdam_0375,nvidia/LocateAnything-3B,2,,0.5043742962763679,0.6705436240499412,0.6205101013183594
potsdam,default,9,potsdam_0393,nvidia/LocateAnything-3B,1,,0.42010213786702216,0.591650595636749,0.4208564758300781
potsdam,default,10,potsdam_0161,nvidia/LocateAnything-3B,2,,0.15258360287631317,0.2647679569543336,0.7581405639648438
potsdam,default,11,potsdam_0098,nvidia/LocateAnything-3B,2,,0.2930226400105918,0.4532366734246688,0.6944541931152344
potsdam,default,12,potsdam_0015,nvidia/LocateAnything-3B,2,,0.9795107138633615,0.989649317887929,0.9795112609863281
potsdam,default,13,potsdam_0349,nvidia/LocateAnything-3B,2,,0.0,0.0,0.8012161254882812
potsdam,default,14,potsdam_0066,nvidia/LocateAnything-3B,1,,0.03749379458103624,0.0722776266747255,0.8594741821289062
potsdam,default,15,potsdam_0281,nvidia/LocateAnything-3B,1,,0.37303367352007305,0.5433714856587886,0.3740501403808594
potsdam,default,16,potsdam_0177,nvidia/LocateAnything-3B,1,,0.05133649965148887,0.09765950229732646,0.3302459716796875
potsdam,default,17,potsdam_0138,nvidia/LocateAnything-3B,2,,0.3906435614160133,0.5618169490077575,0.6869163513183594
potsdam,default,18,potsdam_0174,nvidia/LocateAnything-3B,2,,0.9704163232915178,0.9849860781405507,0.9704208374023438
potsdam,default,19,potsdam_0324,nvidia/LocateAnything-3B,2,,0.9813409632808775,0.9905826220398607,0.9813423156738281
potsdam,default,20,potsdam_0271,nvidia/LocateAnything-3B,2,,0.7601725887550262,0.8637477865652912,0.7601890563964844
potsdam,default,21,potsdam_0359,nvidia/LocateAnything-3B,3,,0.7628054801283634,0.8654448703810674,0.8240585327148438
potsdam,default,22,potsdam_0035,nvidia/LocateAnything-3B,2,,0.17192740109742527,0.29340964455038376,0.1767730712890625
potsdam,default,23,potsdam_0006,nvidia/LocateAnything-3B,1,,0.5445398739229774,0.7051159806446439,0.7475357055664062
potsdam,default,24,potsdam_0217,nvidia/LocateAnything-3B,2,,0.9728780063484312,0.9862525743790066,0.9728813171386719
potsdam,default,25,potsdam_0026,nvidia/LocateAnything-3B,2,,0.9301810573259108,0.963827775425992,0.9302444458007812
