box_count,box_mask_accuracy,box_mask_f1,box_mask_iou,dataset,latency_ms,model,normalized1000_box_count,params_M,perturbation,pixel_box_count,round_index,sample,strength
1,0.96807861328125,0.9837804310745852,0.96807861328125,zijinshan,608.3325549998335,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,50,2024_omap_2024_000037,none
1,0.6428451538085938,0.7783632791231684,0.6371479064287596,zijinshan,598.9529489997949,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,51,2024_omap_2024_000034,none
1,0.8628196716308594,0.9262128073440428,0.862566450483641,zijinshan,598.098798999672,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,52,2024_omap_2024_000041,none
1,0.5027809143066406,0.6616761104809467,0.4944065600732345,zijinshan,600.3397280001082,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,53,2024_omap_2024_000048,none
1,0.9650611877441406,0.9822199876147528,0.9650611877441406,zijinshan,597.848858999896,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,54,2024_omap_2024_000042,none
1,0.9452743530273438,0.971802028461357,0.945150696034838,zijinshan,598.1140690000757,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,55,2024_omap_2024_000020,none
1,0.4106178283691406,0.1790881413747483,0.09835080183944536,zijinshan,621.6889609995633,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,56,2024_omap_2024_000006,none
1,0.7018013000488281,0.8229346223280277,0.6991409635679262,zijinshan,599.057688999892,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,57,2024_omap_2024_000032,none
1,0.4160308837890625,0.579062567024313,0.40752150910097185,zijinshan,597.3261199997069,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,58,2024_omap_2024_000024,none
1,0.4952735900878906,0.6555396747294402,0.48758573414765444,zijinshan,599.1602189997138,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,59,2024_omap_2024_000022,none
1,0.9681816101074219,0.9838336108166149,0.9681816101074219,zijinshan,597.1845389994996,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,60,2024_omap_2024_000040,none
1,0.6999359130859375,0.8232534311214172,0.6996013014985565,zijinshan,598.450239000158,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,61,2024_omap_2024_000004,none
1,0.8343887329101562,0.9093043758016871,0.8336921462117788,zijinshan,598.087898999438,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,62,2024_omap_2024_000008,none
1,0.5582008361816406,0.6219976696139197,0.4513763553938636,zijinshan,599.4468480002979,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,63,2024_omap_2024_000052,none
1,0.8913955688476562,0.942459274829217,0.8911801242236025,zijinshan,598.6711490004382,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,64,2024_omap_2024_000027,none
1,0.280914306640625,0.4187966725659351,0.26485946829213125,zijinshan,601.3036579997788,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,65,2024_omap_2024_000049,none
1,0.9009971618652344,0.9478615668650845,0.9008905454017765,zijinshan,598.131619999549,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,66,2024_omap_2024_000039,none
1,0.9460792541503906,0.9722792587667948,0.9460539422412707,zijinshan,598.7622389993703,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,67,2024_omap_2024_000019,none
1,0.13859176635742188,0.20774873959309118,0.11591496358938219,zijinshan,599.9240080000163,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,1,2024_omap_2024_000005,0.70
1,0.6888198852539062,0.8143860271865514,0.6868897009150647,zijinshan,625.3690490002555,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,brightness,1,2,2024_omap_2024_000021,0.70
