box_count,box_mask_accuracy,box_mask_f1,box_mask_iou,dataset,latency_ms,model,perturbation,round_index,sample,strength
6,0.9371070861816406,0.9675325570449842,0.9371070861816406,zijinshan,356.99657700024545,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,39,2024_omap_2024_000044,none
1,0.15845870971679688,0.2676210174060561,0.15448179647465995,zijinshan,304.59406599948124,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,40,2024_omap_2024_000064,none
42,0.45366668701171875,0.08184172735665196,0.042666827093401784,zijinshan,1301.9550429999072,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,41,2024_omap_2024_000046,none
2,0.9491996765136719,0.9739259149033651,0.9491769932106233,zijinshan,253.18837499980873,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,42,2024_omap_2024_000013,none
42,0.9350929260253906,0.5080806036601232,0.34055499573676457,zijinshan,963.2922099990537,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,43,2024_omap_2024_000065,none
42,0.5116844177246094,0.05287262772372461,0.027154170023255462,zijinshan,1896.261030999085,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,44,2024_omap_2024_000050,none
2,0.2759857177734375,0.4299906898519386,0.2738777961841436,zijinshan,279.58385500096483,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,45,2024_omap_2024_000023,none
1,0.11538314819335938,0.19911518178144783,0.1105651953790215,zijinshan,316.69976100056374,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,46,2024_omap_2024_000063,none
2,0.9701728820800781,0.9848480444307504,0.9701483989936204,zijinshan,253.4486549993744,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,47,2024_omap_2024_000028,none
1,0.9219207763671875,0.9593210907067334,0.9218223624405112,zijinshan,252.6411660001031,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,48,2024_omap_2024_000007,none
3,0.21233367919921875,0.34443915293520017,0.2080498300898261,zijinshan,394.76040299996384,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,49,2024_omap_2024_000043,none
2,0.9951820373535156,0.997585201472205,0.9951820373535156,zijinshan,253.96204499884334,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,50,2024_omap_2024_000037,none
2,0.6433525085449219,0.7823390410560257,0.6424933273170844,zijinshan,253.91564500023378,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,51,2024_omap_2024_000034,none
42,0.8868484497070312,0.9400120534071099,0.8868139080529946,zijinshan,993.0628889997024,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,52,2024_omap_2024_000041,none
41,0.8558540344238281,0.8514282344152397,0.7412930214088634,zijinshan,797.1034420006617,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,53,2024_omap_2024_000048,none
2,0.9921646118164062,0.9960668972146586,0.9921646118164062,zijinshan,253.71470499885618,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,54,2024_omap_2024_000042,none
1,0.9685401916503906,0.9840132592829519,0.9685296272552432,zijinshan,252.66776500029664,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,55,2024_omap_2024_000020,none
41,0.8783226013183594,0.12064069693711577,0.06419246002640458,zijinshan,1640.2114569991681,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,56,2024_omap_2024_000006,none
2,0.7136001586914062,0.8326340991470977,0.7132588835589233,zijinshan,253.3388459996786,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,57,2024_omap_2024_000032,none
1,0.4182472229003906,0.588695692042969,0.41712881390913503,zijinshan,278.374695999446,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,58,2024_omap_2024_000024,none
1,0.496246337890625,0.6624473436669257,0.4952682352581449,zijinshan,316.2141809989407,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,59,2024_omap_2024_000022,none
1,0.9952850341796875,0.9976369462309674,0.9952850341796875,zijinshan,252.32036599845742,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,60,2024_omap_2024_000040,none
38,0.7234649658203125,0.8394909197188899,0.7233816038005838,zijinshan,1538.5802849996253,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,61,2024_omap_2024_000004,none
2,0.8543281555175781,0.9213908267683307,0.854239746550375,zijinshan,368.2145420007146,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,62,2024_omap_2024_000008,none
41,0.5692901611328125,0.18050777337455906,0.09920777386850482,zijinshan,1275.1303330005612,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,63,2024_omap_2024_000052,none
2,0.9152030944824219,0.9557089771561215,0.9151749428559436,zijinshan,253.06528600049205,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,64,2024_omap_2024_000027,none
29,0.5445709228515625,0.45351679437532616,0.2932568505922677,zijinshan,1194.8281740005768,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,65,2024_omap_2024_000049,none
1,0.92626953125,0.9617173325727505,0.9262577164615302,zijinshan,252.6259360001859,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,66,2024_omap_2024_000039,none
2,0.9723968505859375,0.9860041933262671,0.972394744472082,zijinshan,253.09104600091814,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,67,2024_omap_2024_000019,none
